Year;EOM_avg;REC_y;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;189.74243268991745;-6.672313332910808e-11;153.0;12.708;49.44;164.87;78.48;110.84;11.39;555.8431805377371;27.51013231758485;433.09439999998034;288.6219235013827;687.4847999999996;126.15955034204879;0.0
2022.0;379.667344764048;-3.940965609324893e-11;153.0;12.708;49.44;247.30499999999995;78.48;166.2599999999997;11.39;302.6348069472807;27.51013231758485;433.09439999997636;432.93288525205566;687.4847999999996;189.23932551305168;0.0
2023.0;246.9069943090445;-1.0700110524207795e-10;145.35;18.355999999999824;46.144000000000005;359.96616666666637;74.556;242.00066666666493;10.251;185.8665413867995;39.736857792039245;363.74440701962254;630.1578663113189;653.1105599999997;275.4483515800997;0.0
2024.0;156.74863447906026;-5.0899781154718004e-11;137.70000000000007;17.65000000001305;42.848000000000006;534.4535833333322;70.632;234.611333333341;9.112000000000002;46.34428590000546;38.20851710772064;292.81028636266285;935.6160686835699;615.6927537994964;267.03771489058914;0.0
2025.0;71.34883708878425;-2.4957328103873255e-10;130.05000000000013;16.944000000013347;39.552;754.475481168764;66.708;227.22200000001106;7.973;0.0;36.68017642327575;99.64282394774824;1320.7870722964794;547.446409253672;258.62707820093493;0.0
2026.0;65.23512881715712;-3.310000158054698e-10;122.40000000000016;16.238000000013677;36.25599999999999;834.8565250337965;62.784000000000006;219.83266666668493;6.8340000000000005;0.0;35.15183573888475;60.52726466763112;1461.502372189478;492.2660621986469;250.21644151135976;0.0
2027.0;88.31606847402983;-2.1257029984524639e-10;114.75000000000023;15.532000000014051;32.96;823.865191700715;58.86;217.21417399855733;5.695000000000003;7.0921197240868965;33.62349505466718;113.07908515217201;1442.2609106232692;494.9351694843342;247.23603861014396;3.602183230491405e-14
2028.0;86.22113021405852;-2.2288751926151216e-10;107.10000000000028;14.826000000014417;29.664;880.2814538358152;54.93599999999999;224.02019486317874;4.556000000000004;8.176168700218993;32.09515437030169;91.07115164638768;1541.0233907238319;447.56423039954194;254.98274135184914;1.0720470551670969e-13
2029.0;83.66145634348013;-1.3133650135851752e-10;99.45000000000037;14.120000000014851;26.368000000000027;935.793254486151;51.012;225.13393220542812;3.417000000000011;9.765308273148879;30.566813685921588;72.25975677988005;1638.2025177979588;405.02300082306226;256.25041188853646;1.2187115654939617e-13
2030.0;81.15728094683243;-2.33841441959001e-10;91.80000000000045;13.414000000015363;23.072000000000056;997.2253027872938;47.088;227.48575987975792;2.2780000000000173;10.407951705900974;29.03847300153395;53.82998919437183;1745.745648417782;351.4466400727571;258.92729317564675;1.46236441728485e-13
2031.0;78.37645412625635;-3.94855949551902e-10;84.15000000000059;12.708000000015973;19.776000000000085;1032.14494096718;43.164;232.6626966411314;1.139000000000024;57.16352456489699;27.51013231716813;1.1907824407653842e-9;1806.876073233939;311.1900828326439;264.81975089808753;1.6920806369435504e-13
2032.0;75.69812797659283;3.207392786752547e-9;76.5000000000007;12.00200000001669;16.48000000000012;1072.5590455179008;39.24;237.44566914357802;7.032089711601421e-14;47.887224061677664;25.981791621007005;2.1036386280631705e-10;1877.6251275708755;264.6648163582384;270.26379329512315;7.548910882602062e-14
2033.0;73.09854321963338;7.635038232034805e-8;68.85000000000086;11.296000000017536;13.184000000000173;1109.3926059076703;35.316;240.5880418425076;8.529861084218092e-14;45.219610694534566;23.6662698129707;1.1906231627701097e-10;1939.6991077698224;225.31305024392725;271.96240598157203;7.747265019726965e-14
2034.0;70.41951210879174;-7.924761096876845e-7;61.20000000000105;10.59000000001853;9.888000000000243;1140.8432306270283;31.392000000000003;246.51062420471607;9.290148797709544e-14;43.28792578651166;21.732086110312103;8.556781759048396e-11;1991.185228676051;192.07455697725982;276.37416401613126;8.023310961505911e-14
2035.0;67.69010258474437;-4.547004939512088e-6;53.550000000001276;9.884000000019705;6.5920000000003585;1176.7410099753438;27.467999999999996;255.69452494087642;9.979462399049393e-14;37.56173353722335;19.83096698027614;6.440544327642455e-11;2049.9041463512795;155.52766855959877;281.4430804095041;7.930139087128065e-14
