Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_CAP_Import;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;CN_PROD_Import;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;4.0845286347053156e-12;1.6488035069642006e-12;5.886455947064267e-12;4.228988696473213e-13;0.7839091242610877;0.0;0.0;0.0;0.0;0.0;0.0;1.3449455548689522;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;1.4818075245716443e-12;5.643914809045926e-13;3.9363975081285975e-12;2.829145962351597e-13;0.8724695926902066;0.0;0.0;0.0;0.0;0.0;0.0;1.4941817241593656;0.0;0.0
2023.0;65.33333333333464;0.32666666666752825;0.12825000011414714;0.1282500000007755;5.922925561807286e-12;2.268052766787064e-12;1.5841500545932868e-11;1.0607448400434077e-12;0.9610300610949167;0.0;0.0;0.0;0.0;0.0;0.0;1.6434178934010937;0.0;0.0
2024.0;60.666666666669315;0.30333333333509827;0.12150000016168273;0.12150000000351671;8.430004860648432e-12;3.2718536038973896e-12;0.002558069166436882;0.0019185519020669959;1.0679420519701615;0.0;0.0;0.0;0.0;0.0;0.0;1.7888766229162272;0.0;0.0
2025.0;56.00000000000399;0.28000000000270797;0.11475000016560126;0.11475000000453993;1.3348934935219136e-11;5.328464492699791e-12;0.008761976983985764;0.00815798841320745;1.1776637086527266;0.0;0.0;0.0;0.0;0.0;0.0;1.9297221238139872;0.0;0.0
2026.0;51.33333333333891;0.25666666667122606;0.10800000017543844;0.10800000000694636;2.718616255185449e-11;1.185353718417006e-11;0.008815026423476506;0.008815026379941858;1.2914342488984722;0.0;0.0;0.0;0.0;0.0;0.0;2.0664897934064204;0.0;0.0
2027.0;46.66666666667415;0.2333333333524184;0.10125000018630506;0.10125000001848446;0.16621187108679294;0.06193939390021713;0.007198224812209272;0.005545407625114854;1.4121973704869772;0.0;0.0;0.0;0.0;0.0;0.0;2.198592787002349;0.0;0.0
2028.0;42.0000000000098;1.773119051956313;0.19712677138500245;0.7665015574783471;0.7583342723442609;0.4706825119403104;0.014014448102426469;0.04642435275301503;1.541282991952644;0.0;0.0;0.0;0.0;0.0;0.0;2.3169813850445706;0.0;0.0
2029.0;37.33333333334599;4.316452385337922;0.26391242199155507;1.8397515576522165;1.5343333938773762;1.1458219058904195;0.02015158671560452;0.13079452623851143;1.6607222011300236;0.0;0.0;0.0;0.0;0.0;0.0;2.4129560762692877;0.0;0.0
2030.0;32.66666666668299;8.130235028363193;2.295930133836538;9.565517132406054;2.2518142619432457;2.1582078438526353;0.1765356065954731;0.6058844680402672;1.7613378809456792;0.0;0.0;0.0;0.0;0.0;0.0;2.475743727687529;0.0;0.0
2031.0;28.000000000021252;12.624412142217794;4.995804306332273;13.392143277498358;3.0238631037483366;3.3512075867989553;0.43938736427946634;0.9596455454375659;1.847633056430468;0.0;0.0;0.0;0.0;0.0;0.0;2.544018299137209;0.0;0.0
2032.0;23.333333333361708;16.7500373806816;4.989054306903646;13.385393277536066;3.6890926614401454;4.446373559186551;0.4942953771203395;1.068960795134634;1.9443219230361848;0.0;0.0;0.0;0.0;0.0;0.0;2.6231329071942255;0.0;0.0
2033.0;18.666666666706895;20.772486658140608;5.584556019077526;18.649995194882106;3.9048029161245306;5.514151003743288;0.6375222885816578;1.4519837681696577;2.0232915205794746;0.0;0.0;0.0;0.0;0.0;0.0;2.6724522332990213;0.0;0.0
2034.0;14.000000000067937;23.798478454755376;9.920248563856182;24.635563033523663;3.71554641045109;6.317414280657617;1.161366529606899;1.7712462765139318;2.091101070682296;0.0;0.0;0.0;0.0;0.0;0.0;2.701258769473524;0.0;0.0
2035.0;11.702473311124306;25.927591621551812;15.991059143039552;29.402453521509056;3.106474733218473;6.882597048568043;1.7325016856779671;2.089802323526247;2.161681723985846;0.0;0.0;0.0;0.0;0.0;0.0;2.737830526710824;0.0;0.0
2036.0;7.5487698533282375;31.392592714761832;21.241555825367236;33.407675167840694;2.003855269799885;8.333306429660466;2.4225607835733483;2.5838757087305275;2.160954977744097;0.0;0.0;0.0;0.0;0.0;0.0;2.698725362659988;0.0;0.0
2037.0;2.995321493771301;37.96691964130537;28.632338584600593;40.30638798951375;0.7951217054087613;10.078491395607358;2.917506942805103;2.95497638009373;2.2055251561179436;0.0;0.0;0.0;0.0;0.0;0.0;2.7149215918068283;0.0;0.0
2038.0;2.9953214938066424;39.950729359289305;36.61211911000896;47.09967189171236;0.7951217054351575;10.605102702581506;3.31730351188747;3.2906852560023205;2.318984099069907;0.0;0.0;0.0;0.0;0.0;0.0;2.7755830784005266;0.0;0.0
2039.0;2.9953214938255415;45.9536285372347;40.89981848207556;47.827815201291244;0.795121705249303;12.198599575263456;3.723662645262264;3.543104088250908;2.327009937577885;0.0;0.0;0.0;0.0;0.0;0.0;2.7252584315206834;0.0;0.0
2040.0;2.9953214938453896;51.70784684486026;42.49899604106257;47.821065201310866;0.7435823512736747;13.726082980549574;4.199873351070906;3.918917291414145;2.3206902793028097;0.0;0.0;0.0;0.0;0.0;0.0;2.655295758980257;0.0;0.0
2041.0;2.9953214938872588;56.307048507000836;42.589723940153334;47.81431520131808;0.7052188350862991;14.946961967214703;4.625128290454721;4.389004783824465;2.343753391069409;0.0;0.0;0.0;0.0;0.0;0.0;2.5884296372468674;0.0;0.0
2042.0;3.7347398829523595;60.21128340354648;42.58297394035043;47.807565201321815;0.9914036774680197;15.983358867011365;4.813499444777172;4.640361057314565;2.3834716798176663;0.0;0.0;0.0;0.0;0.0;0.0;2.5316441905231843;0.0;0.0
2043.0;5.676555800101124;64.0339663656762;42.58297394032493;47.8075652013238;1.50686753904643;16.99810743512561;4.97692157518622;4.773925322789702;2.4343341403019374;0.0;0.0;0.0;0.0;0.0;0.0;2.4803787101889787;0.0;0.0
2044.0;7.299740588659041;67.4545673550185;42.58297394043136;47.80756520132401;1.9377493192224626;17.906121515916972;5.200876658364032;4.987298000218181;2.4796094757308986;0.0;0.0;0.0;0.0;0.0;0.0;2.4293727345166367;0.0;0.0
2045.0;8.906322660304445;70.67123364484499;42.58297394091536;47.807565201326284;2.3642238327223875;18.760000203744294;5.490168328834318;5.276091782852339;2.5238691360208976;0.0;0.0;0.0;0.0;0.0;0.0;2.3793045790038656;0.0;0.0
2046.0;10.89206450007172;74.09893340119224;42.58297394542894;47.80756520132825;2.8913480300765113;19.669898684498;5.779140418379514;5.532523858465501;2.5945262376138896;0.0;0.0;0.0;0.0;0.0;0.0;2.3381179636998506;0.0;0.0
2047.0;13.539093553831433;78.03705600730292;42.79405053811254;47.80756520132709;3.594013924205445;20.715291230820817;5.672111215768176;5.400708668071334;2.7379774575686646;0.0;0.0;0.0;0.0;0.0;0.0;2.3274418295525203;0.0;0.0
2048.0;16.116642557429937;81.77034707568514;43.019998655563704;47.13556364392442;4.278236023131098;21.706310314395136;5.623706008045861;5.302186629074758;2.9028939868651973;0.0;0.0;0.0;0.0;0.0;0.0;2.3191115947892333;0.0;0.0
2049.0;18.599235843472304;85.28727010488946;43.3669784846495;46.399628408780124;4.9372516949363865;22.639893518465072;5.530720433178777;5.2100292938376;3.0926364810473337;0.0;0.0;0.0;0.0;0.0;0.0;2.315051063243561;0.0;0.0
2050.0;20.41531707704062;89.18428077740337;44.063952486032946;47.6478693634133;5.419338711869565;23.674372715101445;5.351052810093911;5.0280479398480225;3.355174255835484;0.0;0.0;0.0;0.0;0.0;0.0;2.3311283184378917;0.0;0.0
2051.0;20.431042739582747;89.86803097458825;43.23789970563919;45.01004016341367;5.4189871371650655;23.855877312780574;5.103857114217913;4.750409756679965;3.585759347417431;0.0;0.0;0.0;0.0;0.0;0.0;2.305581442696578;0.0;0.0
2052.0;20.80218994946996;90.2888590558128;43.23789972591768;45.01004016343356;5.415061046396778;23.96758803946807;4.843073782739576;4.484494718820165;3.832439533303761;0.0;0.0;0.0;0.0;0.0;0.0;2.279142401281874;0.0;0.0
2053.0;20.931106320267716;90.68329244594167;43.02696516210756;41.08754983796572;5.4314312701477725;24.07229217493842;4.524602428093422;4.10880605663796;4.107317755204021;0.0;0.0;0.0;0.0;0.0;0.0;2.25830802642764;0.0;0.0
2054.0;20.931106321773637;91.0107035226061;39.58667447128595;36.92740596723167;5.458140346507181;24.159204932757937;4.1519106269961314;3.734950542316767;4.405224602358682;0.0;0.0;0.0;0.0;0.0;0.0;2.2398791540478578;0.0;0.0
2055.0;20.9311063223518;91.10561042891372;34.9815107396532;35.10805237827195;5.422075533878594;24.184398400621916;3.837087655864172;3.4741393649599077;4.707438298247197;0.0;0.0;0.0;0.0;0.0;0.0;2.2179169439232367;0.0;0.0
2056.0;20.93110632272354;91.03805157576923;33.54016848032918;33.73809197815376;5.295245593941264;24.16646398224402;3.6535086177261165;3.3074953384980774;5.009209880128282;0.0;0.0;0.0;0.0;0.0;0.0;2.1898169166723074;0.0;0.0
2057.0;20.931106323042826;90.94877475648576;32.39141908383461;31.645018182968446;5.197395696389197;24.142586078690645;3.487310457685833;3.1376102293411736;5.338951686644836;0.0;0.0;0.0;0.0;0.0;0.0;2.1636757233384216;0.0;0.0
2058.0;20.93110632339594;90.85969711800209;31.784830481316796;29.15660787178793;5.100580171994267;24.119115593419636;3.295847513714365;2.9204001655714737;5.69929223408691;0.0;0.0;0.0;0.0;0.0;0.0;2.1421802348943073;0.0;0.0
2059.0;21.396495174112292;91.06554386209558;29.418838986451256;28.421714562254806;4.939881394806795;24.173762549554436;2.9481085941403595;2.6056533609629966;6.071037357474375;0.0;0.0;0.0;0.0;0.0;0.0;2.126080590172206;0.0;0.0
2060.0;19.02735519638926;88.91309736196581;27.812911427464243;28.421714562235184;4.942952877679952;23.602385844435357;2.734403848110492;2.4085532161685226;6.5336948780243;0.0;0.0;0.0;0.0;0.0;0.0;2.1321414152365756;0.0;0.0
