Iterations;PrimalResidual_ETS;PrimalResidual_MSR;PrimalResidual_EOM;PrimalResidual_REC;PrimalResidual_H2;PrimalResidual_H2CN_prod;PrimalResidual_H2CN_cap;DualResidual_ETS;DualResidual_EOM;DualResidual_REC;DualResidual_H2;DualResidual_H2CN_prod;DualResidual_H2CN_cap
19.0;26.967337015956357;0.8355105305210804;0.16078365388225194;6.66649273086354;3.4542479309844154;1.3196383718811435;0.0;15.195875764373787;0.11712025614706119;10.637998688339193;4.052473099257714;3.1997773764867707;0.0
20.0;26.805452988628783;1.2088170175099417;0.16113319617726915;6.669406310476199;3.4764302217635867;1.344709995226463;0.0;14.918712413793385;0.1150124651406478;10.63819750481479;4.010200285681809;1.4739753079022535;0.0
21.0;26.810494536334;1.4180722692018208;0.16126944056845074;6.663234150181736;3.4925116225533754;1.3567886393343205;0.0;15.321551900869993;0.11477011598360393;10.638672961335876;4.075381718680941;0.719087586874104;0.0
22.0;26.880869405647065;1.4966429911212815;0.16126647851588888;6.651956332315792;3.5066269032451474;1.3622068223963362;0.0;15.696456622893999;0.12238520646869562;10.639313603276957;4.161905679431419;0.34186795464884095;0.0
23.0;26.916709889783903;1.40613690008549;0.16144865489481874;6.612025827522301;3.4975351194742776;1.3122863209994258;0.0;16.258896951066653;0.12166839410776399;10.640023148610062;4.37516974262524;3.225828529431902;0.0
24.0;26.860544395195586;1.1147382492102436;0.16172372642467778;6.615087892721494;3.520485853037054;1.3366945212310983;0.0;16.060949860201443;0.11310256525928383;10.64079239100617;4.293296431607827;1.4387031345980574;0.0
25.0;26.855012851039035;0.7991493376768684;0.16182398380517526;6.60920319449322;3.529988672117723;1.3483779385885464;0.0;15.403610624539242;0.10695463609956764;10.641597863809075;4.252143539612155;0.7025668032114043;0.0
26.0;27.084786113010846;1.4711653064984194;0.16132336174225181;6.598312250761194;3.5270367193007037;1.3537609025278348;0.0;14.771871793419653;0.11675431179570671;10.642449793919583;4.16364621477904;0.3417871333607696;0.0
27.0;27.286960913840826;1.8040924195545518;0.1608188052118291;6.558845818580923;3.4937096043268916;1.3046112526938671;0.0;15.006161463168807;0.11815978260481791;10.643150581993842;4.161074264137659;3.174735720281381;0.0
28.0;27.304255141378643;1.4945145699121964;0.1604705458528721;6.562391824101169;3.4903995508402774;1.329906332837593;0.0;15.67498947602067;0.11850700127662049;10.643588998190655;4.002050935521394;1.4857726153883872;0.0
29.0;27.277864704694093;1.3952787068105208;0.16043153681708527;6.556995907587594;3.4765998333058383;1.3429472557109556;0.0;15.454341124232856;0.11499446884629476;10.643728619818942;3.8975914595411036;0.7672547134361237;0.0
30.0;27.264312599391236;1.4024898243138755;0.16034236453080103;6.546541176530323;3.4579277395789454;1.3498974179653627;0.0;15.288915538721266;0.1162764447779992;10.643716249573407;3.8034153962128388;0.41131281423384547;0.0
31.0;27.20123005760684;1.5173515000656335;0.15986962264533056;6.5073751265971245;3.4149859577720303;1.3022745505756952;0.0;15.318836078416968;0.10809206986410193;10.643504137342337;3.7668705865867835;3.075741895257599;0.0
32.0;27.081772920887325;1.6674874571949572;0.15882010451128642;6.511251219451913;3.4047903062026506;1.32883296102392;0.0;15.231495856185699;0.10504483922120562;10.643104591250559;3.637520425418363;1.5618776013431002;0.0
33.0;27.104838255871172;1.872466411957028;0.1577268539552673;6.506151781453325;3.3855534692259885;1.3429253696158425;0.0;15.43276063508455;0.11539305349913359;10.642698314051072;3.518739624520271;0.8326772984643511;0.0
34.0;27.17545069021569;1.928028890816922;0.15708367159062855;6.495996510064153;3.3632804113759147;1.3507620322009475;0.0;15.956314624600738;0.10764748694414637;10.6423107579004;3.4083400125479115;0.4745450963335042;0.0
35.0;27.280978493302356;1.9760335737618315;0.15661665965388677;6.457120743652953;3.3223341798105483;1.3037916013703725;0.0;16.510267781433583;0.08945025241429273;10.641865336140087;3.3684805911593063;3.0359257073159487;0.0
36.0;27.329720322687194;1.9028775720204936;0.15608396788527695;6.461272783386414;3.323372961874001;1.3308814188166729;0.0;17.03189107111938;0.08359274601447914;10.641275726935895;3.302616204839922;1.5961086963317337;0.0
37.0;27.2217124147104;1.5825891635867304;0.1552559071457693;6.456278247708787;3.32646240985252;1.345013428255935;0.0;17.13626317806517;0.07837503278924736;10.640881070327026;3.3188600017801058;0.8351105068155127;0.0
38.0;26.98712895459651;0.9367354267295388;0.15401745625388205;6.445965724317323;3.334007605967496;1.3522066245542603;0.0;16.399487744463986;0.08920885033384802;10.640647655170879;3.4191560998468913;0.42747072478989884;0.0
39.0;26.74499789119853;0.3584154733168447;0.15294005971215;6.406767623542475;3.3235128411518136;1.3039222349936932;0.0;15.157461533771174;0.10956723473138934;10.640565384076481;3.6950826868587856;3.117820520402241;0.0
40.0;26.58460620691535;0.9621703043297336;0.15237509794284154;6.41025419164557;3.3489159968879343;1.3290992297678874;0.0;14.247831800238098;0.11316004709211071;10.640555270886063;3.703649785469557;1.478856475576455;0.0
41.0;26.544938865259606;1.492768642775581;0.1520878763652624;6.4046294355572755;3.3671214130242575;1.3411578156072999;0.0;14.08809575735083;0.10944767284425291;10.640918670171109;3.7804818692713633;0.7160756439797732;0.0
42.0;26.525041371957975;1.6805156521686464;0.151934469270195;6.393876860132474;3.3813162618981942;1.3464766303785614;0.0;14.111300363537023;0.10784543400726174;10.641459194103454;3.8528463441735536;0.33632361177202086;0.0
43.0;26.486015787211905;1.6014720782426382;0.15166978194684064;6.354688343447674;3.367385635698058;1.2970704115202123;0.0;14.596970715003312;0.09911832202181604;10.642049457380754;3.9943719889087643;3.1927288132848566;0.0
44.0;26.43915684959185;1.4349813254363812;0.1511403744648889;6.358150580540348;3.3880127096115342;1.3212648577236328;0.0;14.989326718127877;0.09867172674512945;10.642572274891993;3.92632050207715;1.425345773618411;0.0
45.0;26.436559353535685;1.227833725402468;0.1506875618271258;6.352785110988501;3.402729133375976;1.332907097194872;0.0;14.944637976345826;0.10556192305285138;10.643119906401202;3.9773093362483545;0.6977894163995554;0.0
46.0;26.462343292290875;1.0058223605865944;0.15048806391696246;6.342413126913826;3.4121018435451775;1.3381357028036873;0.0;14.717753548815166;0.09967721695076619;10.643670857873978;4.004540940168746;0.33538936939318986;0.0
