Year;CAP_SMR;CAP_electrolysis;PROD_SMR;PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2017.0;70.0;1.0;9.9966859986001;2.323926899406072e-6;2.0182939243135936;0.0;0.0
2018.0;65.33333333333333;0.96;9.95421326412415;0.04247530428840329;2.0182937523778324;0.0;0.0
2019.0;60.66666666666667;0.92;9.95598297628;0.040705009894328986;2.0182941640755034;0.0;0.0
2020.0;56.00000000000002;0.8800001417277565;9.986582234317046;0.009737663716099012;2.1094645354129318;0.0;0.0
2021.0;51.33333333333338;0.8400002996005724;9.995969749585154;4.095023833587082e-6;2.2315972992519244;0.0;0.0
2022.0;46.666666666666735;0.8000004741072627;9.995684349045964;3.4095169388051374e-6;2.364007469653036;0.0;0.0
2023.0;42.0000000000001;0.7600008444898315;9.99551666488293;3.3325458292399907e-6;2.5077028433736106;0.0;0.0
2024.0;37.33333333333346;7.621717026418389;8.996836260553241;0.999566100151555;2.6608869999549545;1.667350546531066;0.0
2025.0;32.666666666666806;12.843356561437899;8.671515151515107;1.3282805296183255;3.6752743848022944;2.6780679285813043e-6;0.0
2026.0;28.000000000000167;36.21961337670487;7.432727272727212;2.5671685260737185;3.722392078948507;2.693017222424656e-7;0.0
2027.0;23.333333333333524;57.22133749308251;6.193939393928144;3.8058829456009113;3.432764236315318;2.594913304449919e-7;0.0
2028.0;18.666666666666927;84.4184245356808;3.9890076756692134;6.010190328899048;3.4688234400395963;2.4159789677736447e-7;0.0
2029.0;14.000000000000332;108.29764099013273;1.3385187989761902;8.660782288804718;3.6914808319286183;2.448788637386032e-7;0.0
2030.0;9.333333333333666;108.40095490467425;0.0;9.999959889456406;0.14668229062407867;4.380384840006766;0.0
2031.0;4.666666666666999;108.36095617310664;0.0;9.999997934384444;0.04899354367321324;3.932591581845952;0.0
2032.0;3.317933640471812e-13;108.32095675900969;0.0;9.999956651129846;0.04018907308174609;3.3543452716656974;0.0
2033.0;3.317933640471812e-13;108.28095713998218;0.0;9.999987290263716;0.03799172091877818;2.584261015216257;0.0
2034.0;3.317933640471812e-13;108.24095745454125;0.0;10.000137632036965;0.0;1.4921516332613018;0.0
2035.0;3.317933640471812e-13;108.20095762673297;0.0;9.999982800824185;0.0003240040216789023;0.4394882493823479;0.0
2036.0;3.317933640471812e-13;108.16095783999761;0.0;10.000264587694858;0.0;0.09291976670143057;0.0
2037.0;3.317933640471812e-13;108.12095813523973;0.0;10.00011413851491;0.0;0.00015319583489458366;0.0
2038.0;3.317933640471812e-13;108.08095839303446;0.0;10.000114240597378;0.0;0.00016357677178532884;0.0
2039.0;3.317933640471812e-13;101.13924310922906;0.0;10.000114218851266;0.0;0.00017572960176069958;0.0
2040.0;3.317933640471812e-13;95.8376050293039;0.0;10.000114296632761;0.0;0.0001872412480575263;0.0
2041.0;3.317933640471812e-13;72.38135146333202;0.0;10.000099464744101;0.006996156878144353;0.08327159371495264;0.0
2042.0;3.317933640471812e-13;57.0872817425924;0.0;9.999992897354035;0.018047533530309356;0.6501477899610026;0.0
2043.0;3.317933640471812e-13;58.05074510612104;0.0;9.999977470169714;0.01598587654796495;0.7278087369677108;0.0
2044.0;3.317933640471812e-13;54.49625830909402;0.0;9.999677924643475;0.028421866410002567;1.4058527281543662;0.0
2045.0;3.074452962177445e-13;54.35294706070345;0.0;10.000051896251188;0.04020758890542181;2.3822341262320528;0.0
2046.0;2.8296576150817847e-13;54.352946648097046;0.0;10.000172240441085;0.0;1.0331115571576188;0.0
2047.0;2.583832380318014e-13;54.352946852064086;0.0;10.00027667946831;0.0;0.04706577241304268;0.0
2048.0;2.3546279553942076e-13;54.352947370629806;0.0;10.004112515255526;0.0;0.5612890838754462;0.0
2049.0;2.1416056522556243e-13;54.352948095095144;0.0;10.000106692893395;0.0;1.7051413086584732;0.0
2050.0;1.8955977824151738e-13;54.352948987973726;0.0;10.000197278096817;0.0;1.59918208277459;0.0
2051.0;1.6626422521584785e-13;54.35295016804041;0.0;10.00010476208277;0.00010343938006184682;2.2458006618127593;0.0
2052.0;1.3904993663493413e-13;54.352951744952406;0.0;10.000103611647432;0.0;2.0698595150523036;0.0
2053.0;7.295003284743543e-14;54.352953925927395;0.0;10.000103787241565;0.0;1.9023174390893631;0.0
2054.0;0.0;54.3529571327009;0.0;10.00010542228179;0.0;1.7428409706954109;0.0
2055.0;0.0;54.35296241490032;0.0;10.000110120114664;0.0;1.5911672986149068;0.0
2056.0;0.0;54.3529738978528;0.0;10.000111845419568;0.0;1.445720187112469;0.0
2057.0;0.0;49.692023532000796;0.0;10.000054874372928;0.04579104514384911;1.6514145243189648;0.0
2058.0;0.0;49.6621691812901;0.0;10.000035072307734;0.00029975949911046024;1.5337344669033395;0.0
2059.0;0.0;49.51932891745096;0.0;10.000037842585105;8.040722070532208e-5;1.3785073890199715;0.0
2060.0;0.0;49.79280069083508;0.0;10.000135174060949;0.0;1.1348129553096284;0.0
2061.0;0.0;49.792799835009085;0.0;10.000000508773173;0.0828861791203643;2.297108964415638;0.0
