Year;EOM_avg;REC_y;REC_d;REC_h;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal_old;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_SPP_lignite_old;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal_old;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_SPP_lignite_old
2017.0;70.91358985785341;0.0;0.0;0.0;32.29575;129.1847;37.894;153.539;94.72480000000002;106.038;34.0592;50.50253677141762;987.7344951744533;116.56002340081395;288.34368280593446;829.7892480000003;102.12171070630286;213.06773341116096
2018.0;53.76580714446693;0.0;0.0;0.0;30.142699999999994;122.725465;35.9993;210.07583938927445;90.93580800000001;99.80047058823621;32.35624;28.65860547123933;931.8865490504293;113.99032448515196;394.51892482013375;796.5976780799999;96.11455125240747;208.33109108110932
2019.0;60.76282378575071;0.0;0.0;0.0;27.98965;116.26623000000001;34.1046;201.04413350692914;87.14681600000002;93.56294117647244;30.653279999999995;54.895431315460335;922.9181109120157;141.05744460600704;377.5575317139526;763.4061081600007;90.10739179913122;204.5724489358467
2020.0;80.36351690964385;1.3057756914595688;0.0;0.0;25.8366;109.80699499999999;32.2099;192.01242762457946;83.35782400000001;87.3254117647086;28.950319999999998;80.3093409779672;936.835971480479;167.64804465343227;360.5961386077559;730.2145382400003;84.10023234584769;182.60170245762018
2021.0;54.73265601492175;1.5051299995277698;0.0;0.0;23.683549999999997;182.16544548766151;30.3152;182.98072174223114;79.568832;81.087882352945;27.24736;0.4241051434279182;1354.6744396860888;36.54256433283193;343.63474550136226;697.0229683200009;78.09307289237195;78.99281144505964
2022.0;59.65478741398999;1.8310519555816809;0.0;0.0;21.530499999999996;176.55755047753263;28.420499999999997;173.94901585990078;75.77984000000002;74.85035294118178;25.544399999999996;16.843366915296148;1362.996704037205;71.18442849994524;326.6733523951566;663.8313984000009;72.08591343904533;102.80703233358848
2023.0;66.74360986695889;2.2957139291778113;0.0;0.0;19.377449999999996;170.09831547753913;26.525799999999997;179.42435613377938;71.99084800000001;68.61282352941895;23.841439999999995;29.399336853697285;1347.3931177938491;80.3155418900415;336.9559501663097;630.6398284799998;66.07875398573047;120.70692527135354
2024.0;72.57807510400919;1.8484820477121158;0.0;0.0;17.2244;180.86047226042143;24.6311;187.1627238204573;68.201856;62.37529411765651;22.138479999999998;50.55245127244448;1418.381358136279;56.21805472911392;351.4884756984477;597.4482585600002;60.07159453239442;108.55051787568812
2025.0;74.3546072248382;1.455096492444633;0.0;0.0;15.071349999999997;192.91912767170567;22.7364;193.871072527884;64.41286400000001;56.13776470589467;20.435519999999997;41.4576666847623;1495.9603095416562;48.40282094445369;364.08664275591906;564.2566886400001;54.06443507902993;90.32217452585577
2026.0;78.10449741625331;1.2036476829629836;0.0;0.0;12.9183;208.87783655821062;20.8417;216.5042729327243;60.623872000000006;49.900235294133616;18.73256;33.49872400665089;1576.091197234558;40.98782333794725;406.5914158650904;531.0651187200001;48.057275625675295;74.61917016367512
2027.0;81.34927081897521;1.156871109093663;0.0;0.0;10.765249999999998;202.41860155823053;18.947;227.99320220449235;56.83488;43.66270588237388;17.0296;46.440443789070414;1554.8454053429073;30.967230884846217;428.1674335394942;497.87354879999964;42.05011617231634;65.12184451512734
2028.0;79.05017685905476;1.0679470532422832;0.0;0.0;8.6122;195.9593665582385;17.0523;363.3382282244791;53.045888000000005;37.425176470616044;15.326639999999998;15.177898890248965;1409.9499471167617;24.431151141127565;682.3431364687219;464.68197888;36.04295671890155;43.60956949215295
2029.0;78.17505710930254;1.0463938793020051;0.0;0.0;6.45915;189.50013155825013;15.1576;528.4519243629919;49.25689600000001;31.18764705886153;13.62368;10.227860771818795;1176.1121964588556;20.868477387682148;992.4239056950913;431.4904089600002;30.03579726540281;35.52102743851559
