period,time_step,WindOffshore,Other,Load,WindOnshore,Solar
35,1,0.747152975,78709.0,337797.0,0.360529524,0.000232228
35,2,0.736317281,80848.0,335973.0,0.345348012,0.000232228
35,3,0.702917847,81858.0,331106.0,0.330084615,0.000232228
35,4,0.670665722,83421.0,329553.0,0.314078792,0.000223296
35,5,0.627514164,83124.0,328083.0,0.298689837,0.000223296
35,6,0.63,81044.0,328066.0,0.285446274,0.000223296
35,7,0.61266289,89702.0,351389.0,0.270696024,0.000652027
35,8,0.583215297,99280.0,379642.0,0.251982531,0.006171926
35,9,0.560014164,108722.0,396767.0,0.231593122,0.032601341
35,10,0.546628895,108667.0,401587.0,0.208266764,0.102332482
35,11,0.524128895,101474.0,400283.0,0.191010827,0.186604715
35,12,0.474667139,97548.0,399143.0,0.179306706,0.237730762
35,13,0.444773372,94850.0,395905.0,0.166570831,0.256675268
35,14,0.414752125,94362.0,391483.0,0.150728778,0.248984924
35,15,0.357896601,95742.0,386325.0,0.140007279,0.213302086
35,16,0.34055949,98885.0,381272.0,0.131867892,0.141686321
35,17,0.340049575,104179.0,379526.0,0.127342371,0.055172187
35,18,0.365290368,112354.0,385168.0,0.122178146,0.009753607
35,19,0.40812323,118661.0,394572.0,0.128188518,0.000893188
35,20,0.454844192,115901.0,392423.0,0.133074334,0.000169706
35,21,0.471161473,104912.0,377686.0,0.137883723,0.000160774
35,22,0.488371105,95548.0,361511.0,0.141737785,0.000160774
35,23,0.44796034,89364.0,345477.0,0.143211719,0.000160774
35,24,0.461154391,86623.0,331043.0,0.14579929,0.000160774
54,1,0.429794618,72426.0,302330.0,0.216608134,0.000669891
54,2,0.34055949,72622.0,298049.0,0.218371395,0.000401934
54,3,0.25062323,73723.0,296946.0,0.220473114,0.000366207
54,4,0.207407932,75954.0,294933.0,0.218218542,0.00033048
54,5,0.185290368,75769.0,294989.0,0.219195706,0.000214365
54,6,0.220665722,77886.0,302419.0,0.217503412,0.000214365
54,7,0.313533995,85866.0,325629.0,0.226106815,0.001652397
54,8,0.413222379,99497.0,354854.0,0.235043217,0.01967692
54,9,0.527060906,105820.0,373014.0,0.237854608,0.091703552
54,10,0.570913598,99083.0,378253.0,0.23281594,0.213721885
54,11,0.585446176,89648.0,377037.0,0.215849331,0.340063245
54,12,0.565686968,85485.0,376419.0,0.209107452,0.43034663
54,13,0.547712465,85077.0,375821.0,0.222285506,0.468869802
54,14,0.548477337,83043.0,370185.0,0.232106269,0.467610408
54,15,0.566643059,83747.0,367823.0,0.240425803,0.42348695
54,16,0.584681303,85242.0,361961.0,0.239967246,0.330407888
54,17,0.584808782,90225.0,357835.0,0.23580202,0.200985032
54,18,0.615531162,97250.0,357564.0,0.2283996,0.083137884
54,19,0.644086402,109405.0,371820.0,0.239066509,0.022472595
54,20,0.677549575,107084.0,368682.0,0.26049859,0.005850377
54,21,0.707953258,96145.0,363256.0,0.290299336,0.004823212
54,22,0.690169972,83047.0,345606.0,0.312593941,0.004296232
54,23,0.667351274,76648.0,328714.0,0.319870804,0.003456635
54,24,0.705467422,71932.0,316345.0,0.328818124,0.002018603
93,1,0.526232295,57480.0,255280.0,0.27669002,0.000393002
93,2,0.548286119,57099.0,251761.0,0.26519334,0.000375139
93,3,0.524192635,58737.0,251643.0,0.257135838,0.000384071
93,4,0.518838527,59577.0,251853.0,0.252861432,0.000366207
93,5,0.49302408,60742.0,253438.0,0.24823219,0.000393002
93,6,0.477407932,61554.0,254829.0,0.246048585,0.001536282
93,7,0.457457507,65328.0,260849.0,0.239197525,0.020516514
93,8,0.41424221,68416.0,271706.0,0.22447457,0.099643988
93,9,0.379950425,68342.0,285851.0,0.221313803,0.229549165
93,10,0.347124646,66876.0,296717.0,0.230457647,0.354952679
93,11,0.29963881,66945.0,306190.0,0.241310163,0.45241729
93,12,0.320672804,68615.0,315450.0,0.257943772,0.506669494
93,13,0.325007082,67631.0,312821.0,0.264510964,0.495933381
93,14,0.303845609,65479.0,309409.0,0.270685106,0.480659876
93,15,0.335077904,67158.0,308084.0,0.279048312,0.441431086
93,16,0.359235128,69544.0,303144.0,0.278911837,0.366081794
93,17,0.401494334,70171.0,297862.0,0.28093713,0.262695351
93,18,0.425332861,72650.0,294034.0,0.279992722,0.14701865
93,19,0.437825779,80326.0,293591.0,0.268670731,0.045900902
93,20,0.426671388,83755.0,291747.0,0.257752706,0.00700259
93,21,0.401111898,80680.0,286829.0,0.261246474,0.002581312
93,22,0.381671388,74259.0,277241.0,0.254662906,0.002090058
93,23,0.338201133,67959.0,266281.0,0.245426258,0.001277258
93,24,0.283895184,60625.0,252244.0,0.23989082,0.000946778
102,1,0.314872521,59123.0,271751.0,0.251420253,0.001304054
102,2,0.314426345,60197.0,271978.0,0.240747885,0.001027166
102,3,0.305502833,61239.0,272845.0,0.233067055,0.000509117
102,4,0.319334278,60773.0,273665.0,0.228137567,0.000401934
102,5,0.322967422,61176.0,281380.0,0.22281503,0.000455526
102,6,0.309135977,70445.0,304240.0,0.217710854,0.002768881
102,7,0.2823017,86128.0,331918.0,0.208359567,0.027188626
102,8,0.252407932,95560.0,352875.0,0.190524975,0.099724375
102,9,0.261522663,93053.0,359444.0,0.177876445,0.209532836
102,10,0.249284703,85987.0,359795.0,0.181523065,0.301852687
102,11,0.194723796,81131.0,359354.0,0.179044673,0.356935556
102,12,0.195998584,79399.0,359007.0,0.179148394,0.393341873
102,13,0.235134561,76000.0,355250.0,0.185000455,0.397584515
102,14,0.221048159,73428.0,350555.0,0.190290237,0.386223171
102,15,0.256232295,72469.0,346666.0,0.196027659,0.359883074
102,16,0.269553824,73308.0,343615.0,0.210144664,0.308337228
102,17,0.294348442,74940.0,340199.0,0.207764535,0.228968594
102,18,0.320927762,78486.0,339408.0,0.198686198,0.145062569
102,19,0.334313032,89425.0,343836.0,0.186043127,0.060379469
102,20,0.363505666,93689.0,344896.0,0.180060049,0.010879023
102,21,0.352287536,88921.0,337119.0,0.182019834,0.004492733
102,22,0.378548159,77567.0,323213.0,0.188810845,0.003277998
102,23,0.393973088,72284.0,310222.0,0.195814758,0.002929655
102,24,0.438973088,66051.0,298032.0,0.200700573,0.002241901
160,1,0.023328612,64564.0,254413.0,0.120578656,0.005680671
160,2,0.022245043,65408.0,251639.0,0.109682467,0.005376988
160,3,0.020779037,64873.0,248402.0,0.100052771,0.00538592
160,4,0.020014164,65467.0,249264.0,0.094151579,0.005564558
160,5,0.020906516,65658.0,252109.0,0.09182058,0.009646424
160,6,0.025240793,72186.0,270080.0,0.08662906,0.03864822
160,7,0.024985836,84529.0,296540.0,0.076928396,0.120080117
160,8,0.023583569,89924.0,317272.0,0.066468929,0.257898934
160,9,0.015743626,84634.0,326157.0,0.057248658,0.412179197
160,10,0.011473088,80044.0,331530.0,0.052357383,0.537180775
160,11,0.016189802,78715.0,336153.0,0.052690383,0.612753363
160,12,0.019950425,79231.0,338915.0,0.05392412,0.649561617
160,13,0.022818697,80555.0,339165.0,0.058569739,0.640370718
160,14,0.027726629,79439.0,336246.0,0.068843599,0.602892574
160,15,0.032443343,77705.0,330483.0,0.075727413,0.5498819
160,16,0.044171388,77968.0,325432.0,0.079898099,0.474193199
160,17,0.054114731,79750.0,319863.0,0.086678191,0.376085494
160,18,0.057237961,84278.0,316965.0,0.095161496,0.262034392
160,19,0.056600566,91217.0,316232.0,0.100931672,0.150957605
160,20,0.055516997,92934.0,309723.0,0.104834865,0.063246601
160,21,0.055516997,89556.0,302323.0,0.111838777,0.014996617
160,22,0.070113315,82083.0,293421.0,0.117226822,0.00600222
160,23,0.091657224,71848.0,279178.0,0.117221363,0.005680671
160,24,0.101600566,65921.0,263209.0,0.114999545,0.005600285
170,1,0.276756374,61862.0,252885.0,0.146121372,0.001125416
170,2,0.214610482,59849.0,243563.0,0.135050496,0.000946778
170,3,0.233286119,59592.0,239522.0,0.125327995,0.000553776
170,4,0.280007082,60707.0,239022.0,0.118662542,0.000634163
170,5,0.265729462,61909.0,239916.0,0.117838231,0.005484171
170,6,0.276820114,62740.0,244739.0,0.111669548,0.039041222
170,7,0.254320114,64662.0,255645.0,0.100260213,0.114765651
170,8,0.228569405,70242.0,271418.0,0.087704485,0.227334062
170,9,0.282429178,71771.0,286338.0,0.086738241,0.342582034
170,10,0.272230879,72421.0,297841.0,0.094468201,0.448835608
170,11,0.273633144,72098.0,304430.0,0.099370394,0.525033428
170,12,0.191409349,72120.0,307341.0,0.103017014,0.57027337
170,13,0.162216714,71654.0,305707.0,0.101155491,0.586100651
170,14,0.152592068,70556.0,300967.0,0.098791739,0.562654481
170,15,0.143349858,69556.0,293859.0,0.098917296,0.51303792
170,16,0.106508498,70136.0,290226.0,0.106821945,0.445584407
170,17,0.126012748,70310.0,287366.0,0.115419889,0.347610679
170,18,0.113264872,74566.0,285986.0,0.119525066,0.234944018
170,19,0.125375354,80615.0,284261.0,0.124487308,0.131941645
170,20,0.135956091,82458.0,279776.0,0.133904103,0.056172557
170,21,0.090956091,80575.0,275480.0,0.139210263,0.012790444
170,22,0.111735128,76049.0,272118.0,0.147360568,0.002893928
170,23,0.103449009,69698.0,262739.0,0.157574379,0.00267063
170,24,0.107273372,65852.0,247825.0,0.164927669,0.002625971
244,1,0.216777621,49924.0,268891.0,0.188406878,0.000562708
244,2,0.193512748,49389.0,264842.0,0.185923028,0.000562708
244,3,0.155269121,49293.0,262553.0,0.180709672,0.00057164
244,4,0.13194051,49762.0,261986.0,0.177641707,0.00057164
244,5,0.103130312,50962.0,267881.0,0.176337003,0.000669891
244,6,0.082287536,56749.0,284141.0,0.170206533,0.002849268
244,7,0.097967422,67204.0,304006.0,0.159583296,0.032922888
244,8,0.067818697,75439.0,321525.0,0.145362569,0.12495692
244,9,0.035502833,73636.0,333463.0,0.136835593,0.258631349
244,10,0.037032578,65983.0,338924.0,0.132910564,0.389661942
244,11,0.04506374,60229.0,341518.0,0.138849968,0.464796868
244,12,0.059150142,57179.0,343300.0,0.147054863,0.514350905
244,13,0.052648726,57473.0,344076.0,0.155931216,0.532625521
244,14,0.083753541,57353.0,343334.0,0.16375398,0.524533242
244,15,0.086048159,57059.0,339913.0,0.171675007,0.479159321
