Year;EOM_avg;REC_y;CAP_Biomass;CAP_SPP_lignite;CAP_Solar;CAP_ICE;CAP_WindOffshore;CAP_WindOnshore;CAP_Nuclear;CAP_CCGT_old;CAP_CCGT_new;CAP_SPP_coal;CAP_OCGT;FS_Biomass;FS_SPP_lignite;FS_Solar;FS_ICE;FS_WindOffshore;FS_WindOnshore;FS_Nuclear;FS_CCGT_old;FS_CCGT_new;FS_SPP_coal;FS_OCGT
2021.0;165.26522557172746;-2.3653963888162495e-12;12.6;24.35;110.84;14.407499999999999;12.708;164.87;78.48;59.5;90.0;22.470000000000002;11.39;110.37599999999975;211.73609940199853;137.34215934290341;1.7185267947708436e-10;46.29264014459302;354.4815821335945;687.4847999999996;1.2717302607136103;435.8795978555158;196.83719999782178;2.7392005308406584e-11
2022.0;308.6053565769846;8.685178548046138e-10;12.6;24.35;166.2599999999892;14.407500013337847;12.708;247.305;78.48;59.5;90.0;22.470000000000002;11.39000000000049;110.37599999999975;197.1549277146495;206.01323900973628;92.48257640058355;46.29264014459302;531.7223732003882;687.4847999999996;0.0;156.04772299604562;194.389633725631;0.0
2023.0;181.38018999517257;2.848986845388437e-10;11.76;23.863;242.00066666661075;12.96675001334125;18.355999999999923;359.96616666666665;74.556;55.533333333333324;85.5;20.971999999999998;10.251000000000985;95.773290628595;143.88320007907183;299.8637145524298;1.3059071180992247e-8;66.86714687537209;773.9514543250045;650.4509944902143;0.0;110.49745134302346;148.1841867656819;0.0
2024.0;101.9794055660238;4.8620858888229366e-11;10.92;23.376;359.30633333226484;11.526000013344841;24.00399999999968;534.4535833333332;70.632;51.56666666666667;81.00000000000018;19.474;9.112000000001485;65.81437345294401;105.30980072698678;445.21749982456646;1.0213997036699523e-9;87.44165360593507;1149.111128749702;544.684825939597;0.0;37.6854840383307;103.4175180279467;0.0
2025.0;74.53737188354758;5.447338558786103e-11;10.08;22.889;367.5333300147944;10.085250013349075;31.06659125472794;773.2719110742662;66.708;47.6;76.50000000000038;17.976000000000003;7.973000000002101;54.4485187462398;24.528512499183872;453.41622810360593;3.034524184838583e-10;105.38084256646516;1643.9047818526078;442.6495254673137;2.5625090844302313e-11;13.062011345176323;32.61839941452403;0.0
2026.0;73.18802911843073;3.523305477304151e-9;9.24000000000599;22.402;378.5431244458161;8.644500013354063;30.360591254736434;762.2805777409341;62.784000000000006;43.633333333333326;72.00000000000057;16.478;6.834000000002882;55.601010477691894;33.48388100794198;468.502662913018;0.0;107.0029683832398;1628.3570061745759;441.2239429016746;4.906929330632993e-11;24.189119093484155;34.611245021599295;0.0
2027.0;62.44079136595022;1.2846247222268596e-8;8.400000000010008;21.915000000000003;371.1537911180562;7.203750013360006;29.654591254739067;751.2892444076011;58.86;39.666666666666664;67.50000000000085;14.98;5.695000000003912;48.05552427557858;2.1970696506345266;459.80576918880774;0.0;105.97066082734298;1613.1630028003601;447.9297054031112;2.2619628359432845e-10;110.33159141384982;6.76006338002076;1.8035986468409252e-10
2028.0;67.82686869260507;1.3545793467840275e-8;7.560000000013424;21.428;396.53825832945296;5.763000013367251;28.948591254742944;740.2979110742901;54.93599999999999;35.699999999999996;63.00000000000127;13.482000000000001;4.556000000005356;34.286890200152996;8.438319915457644;491.3201669674069;0.0;105.06720302832011;1591.4727992170792;439.48656541120636;1.0382822042422322;125.15320448044115;10.743545057601759;2.604880430248675e-10
2029.0;68.70910293367588;1.4102535815654299e-8;6.720000000017811;20.941000000000003;413.43336825490815;4.322250013376192;28.24259125474651;777.4197461921814;51.012;31.733333333333334;58.50000000000196;11.984000000000218;3.417000000007636;28.75787333013202;1.0327189327016297;512.2435118003868;0.0;102.25035933543153;1670.2577358917108;401.99744614130816;24.440142922434408;124.14073702475575;3.667803820546722;3.111170898450179e-10
2030.0;69.6639474340862;1.564633916976407e-8;5.880000000023562;20.454;435.18487865889335;2.881500013387488;27.536591254749286;903.3426430867743;47.088;27.766666666666662;54.000000000003325;10.486000000000443;2.278000000012433;36.37310673333907;1.4864512156350955;539.1085130353569;0.0;94.55837049320749;1911.0185155155707;325.8861728898796;20.377408118526635;100.93222065481125;3.9580834324704104;3.30037629940556e-10
2031.0;72.52624316224852;0.005504562457025643;5.04000000003112;19.967;427.79554533363734;1.4407500134022995;26.830591254751713;916.6991589177907;43.16400000000015;23.8;49.50000000001315;8.988000000000685;1.6720511733258085;32.99666209508332;7.208052747495625;529.9901297068174;0.09150541563733902;93.39301175598362;1943.7839527595102;310.9566522010888;23.604341215353248;103.2358313641583;5.775188138885853;0.2555774834423518
2032.0;74.28911378406488;0.006336963977489591;4.200000000041462;19.480000000000004;420.4062120025657;1.342088306023106e-8;26.124591254753962;958.009119703111;39.2400000000003;19.833333333333332;58.994461549214954;7.4900000000009905;1.9385767599668746;11.658125246393551;6.479985968293526;520.8220267532915;1.1973658527745924e-9;90.20787452002737;2023.4421431116864;285.22455387383644;17.200263329477526;116.34423567194662;4.282405447968836;0.2963166307585764
2033.0;74.98117836233023;0.0073069364184677405;3.3600000000563157;18.993000000000002;413.016878681683;1.3443950032713845e-8;25.418591254756134;1041.3659352208424;35.316000000000436;15.866666666666667;60.16367429941981;5.992000000001399;3.4773651399191396;8.702487666429828;5.876240024746293;511.64767505800853;1.3795314204218017e-9;85.87837081311804;2168.1805766022076;253.51341416059054;13.196921277346421;109.50178004100707;3.0130002266397224;2.400695854748724
