Year;CAP_SMR;CAP_electrolysis;CAP_SMRCCS;PROD_SMR;PROD_electrolysis;PROD_SMRCCS;CN_CAP_electrolysis;CN_PROD_electrolysis;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.135;0.35;9.90696848919483;1.728348619421469e-11;0.09290909090907142;0.0;0.0;4.25119037437512;0.0;0.0
2022.0;70.0;0.7829999999999805;0.35;11.07512898501762;0.03586591078626759;1.1157127287190011e-14;0.0;0.0;9.531216755375512;0.0;0.0
2023.0;65.33333333432269;4.532399999999774;0.3266666666666667;11.616140315027854;0.6059419802246692;3.2393571435500604e-14;0.0;0.0;7.3312062183238735;0.0;0.0
2024.0;60.66666666865895;26.32211999999793;0.30333333333333345;8.423839407771133;4.824652110460911;0.08052121212115126;6.000000018607346;0.9999999999999996;6.30405254429602;7.97280630514176e-13;9.048174814467793e-7
2025.0;56.00000000300733;114.86295287651379;0.28000000000000014;3.830173927565589e-8;14.444389972537207;2.5341283469806975e-15;6.000000040558149;1.0000000000000016;2.888626619280014;7.859225497853597e-13;2.170187659046036e-6
2026.0;51.33333333751441;126.82525904840816;0.2566666666666669;7.025241728908376e-8;15.555473078559569;6.325166252878474e-15;6.000000081617376;1.0000000000031541;2.8613410604235834;3.176608637991793e-10;4.805403395730068e-6
2027.0;46.666666672215186;137.02013668011503;0.23333333333333361;7.101560784738939e-7;16.604751427279957;0.061939393939381665;6.000000152741722;1.0000000000094291;2.9016248022195077;8.997032955918684e-10;9.895049934569606e-6
2028.0;42.00000000715636;146.36767277109618;0.21000000000000038;3.359882639438318e-7;17.721984086649417;0.055745454545439374;6.0000002676112905;1.0000000000071343;2.823874559983785;7.429204822880135e-10;1.9075051024920633e-5
2029.0;37.33333334240217;155.23761490043708;0.1866666666666671;2.3736795646557673e-7;18.839209608926193;0.049551515151495036;6.0000004416211965;1.0000000000029179;2.7271249169011798;3.515529995452027e-10;3.4633929120220253e-5
2030.0;32.666666678044514;199.99643219953012;0.16333333333333386;1.216364526477338e-7;19.999978929411743;6.633243802133322e-14;199.996432199518;10.000000000001775;2.1901040641961877;2.3143703764510714e-10;75.26395109884133
2031.0;28.00000001422234;199.9988193881039;0.14000000000000062;1.1874086143684496e-7;21.500445886140778;6.19759033879116e-14;199.998819388093;10.000000000003348;2.187048728916943;5.359189750379892e-10;64.17611060446636
2032.0;23.333333351162278;199.99849345347357;0.11666666666666745;1.4546062855956726e-7;22.96913384967641;0.030969696969616368;199.99849345344973;10.000000000462677;2.4861181945729296;6.054663725874314e-8;30.713370136675046
2033.0;18.66666668927101;203.8406167085274;0.09333333333333428;1.5434735262235074e-7;24.47457012710862;0.024775757575710086;200.00931428754114;10.000000000521645;2.6102014850151187;7.473003154797038e-8;1.0702398094971974
2034.0;14.000000029390748;217.66973441440487;0.07000000000000117;1.3415932818718285e-7;25.981149696281186;0.01858181818165724;200.006448283487;10.000000000038941;2.4714600815159398;6.785921374995734e-9;0.8151330562988955
2035.0;9.333333373768394;223.26641149449955;0.046666666666668175;1.2693513792046968e-7;27.48744505235225;0.012387876526128105;200.00561540720523;10.00000000023416;2.4248846146249083;4.145198122128247e-8;0.7809317328286729
2036.0;4.666666730242215;234.32518838096956;0.02333333333333555;1.1902621190806242e-7;28.99973841854506;1.4545892638768464e-13;200.005883424448;10.000000000013623;2.3343460901520277;2.8797832098461343e-9;0.9001283488536272
2037.0;4.5630118983593986e-6;251.1042464804741;2.532886509343714e-13;1.1601620908921774e-7;30.498998858981263;3.76469138004202e-14;200.00568570177458;10.00000000009105;2.5746268033491195;1.9844931199963794e-8;0.9569654206149736
2038.0;4.691229651102251e-6;264.2585448569782;2.5558466735014244e-13;1.123016012784443e-7;31.998884615747045;3.5571976666324065e-14;200.00418903544056;10.00000000088718;2.534722020829301;2.0048783850705164e-7;0.7756396354700426
2039.0;4.985040745598553e-6;273.9055175252649;2.582018211958348e-13;1.046974533391369e-7;33.49957598132641;2.9334140018882357e-14;200.00311685709357;10.00000001195102;2.3572896609898506;2.9316645439064426e-6;0.6348818273089025
2040.0;5.445417900719626e-6;284.75564686302806;2.622037486502516e-13;1.0011355887308772e-7;34.99909729797308;2.5439401802122686e-14;200.0025789085158;9.999999864257317;2.1873919781195044;0.00041048013941442793;0.5778812271636956
2041.0;6.068339496274697e-6;295.73697436693175;2.691635360781763e-13;9.721396499897277e-8;36.49819251225323;2.3170017100158284e-14;200.0021859126325;9.999999891347196;2.0259308414414705;0.0004607926158885097;0.5388389766918465
2042.0;6.8113494968745694e-6;308.8868171414068;2.8029680106068793e-13;9.218857212263237e-8;37.99930771275842;1.961257828097079e-14;200.00152055301047;9.999999983398148;1.7615038099496758;0.0005248887985996938;0.41233339600490043
2043.0;7.685803328284927e-6;317.7325129110294;3.0338037438296934e-13;9.288582631324191e-8;39.49835367170521;2.061831939196668e-14;200.0010960823247;10.000000218627552;1.7198900024310313;0.0006680411999686692;0.32697030230319274
2044.0;8.690450828817789e-6;322.5766130115693;3.3199399356767545e-13;9.097038008384074e-8;40.99957687386487;1.9704551504280774e-14;200.00075573408165;10.000001142794114;1.5697967821275138;0.003591440609162369;0.2479990461028928
2045.0;9.854149997088556e-6;327.1852827912843;3.7254398399942675e-13;9.297879060728069e-8;42.499445988620444;2.2023490575295022e-14;200.00092657337083;10.00000011513583;1.6395409785965398;0.01080468981715318;0.33448340445847097
2046.0;1.1187486329257376e-5;341.35852419595085;4.1252757769356485e-13;9.113053711734237e-8;44.00013558705127;2.0941603365912104e-14;200.00068530544362;10.000014563202365;1.4486860755396678;0.008306412628071864;0.2721389986274657
2047.0;1.2732381481166002e-5;342.79883710416533;4.647430317738273e-13;9.273546043346377e-8;45.499330524619424;2.3027126001980625e-14;200.00080121723295;9.999998220824025;1.4724522000099112;0.01067630058144319;0.375009104057369
2048.0;1.4513143088955533e-5;345.17770024553784;5.196555844589519e-13;9.184404364719443e-8;47.00097956478814;2.2643895642351608e-14;200.00072124614286;10.000020346704007;1.3790065673971719;0.0251827150532402;0.39992423713221437
2049.0;1.6579185248247425e-5;362.31805872220826;5.857717887701304e-13;9.227582810651864e-8;48.501127437150124;2.3586226760963573e-14;200.00062840871865;10.000014621643576;1.3407447957181555;0.029693859768075995;0.41525347402729285
2050.0;1.8979226560039717e-5;374.40793360296163;6.63238006320495e-13;9.308962176073835e-8;50.00085172244795;2.500930672370791e-14;200.00053861952375;10.000044733073876;1.3244248489931651;0.052458343103038305;0.4271236219924468
2051.0;2.176909987973335e-5;373.5849281020045;7.488264333024298e-13;9.258767777002853e-8;50.0016371936234;2.4821387695909666e-14;200.000456945139;10.000066494895401;1.2103859473611476;0.0765067268296969;0.438467667310428
2052.0;2.5017283662740132e-5;361.0956614352683;8.484689317386086e-13;9.230718432985655e-8;50.002701505575;2.4841690986837925e-14;200.00038133833064;10.000045808045703;1.1328703271998015;0.14151481396054866;0.4472481547435226
2053.0;2.8774670062223646e-5;344.1829630669042;9.650050302629794e-13;9.222775307139158e-8;50.00353848197899;2.5059142517938138e-14;200.0003127134119;10.00005697674282;1.0640087739860737;0.2079677633310272;0.45388126309182103
2054.0;3.297095684229563e-5;335.3965966489692;1.097438559326387e-12;9.255892332845675e-8;50.00370744896937;2.57573684169825e-14;200.00025143545116;10.000081720907884;1.007895946105779;0.26461712731540205;0.4587938690388296
2055.0;3.692252435218296e-5;325.5328983412172;1.2215519281503972e-12;9.259723070529925e-8;50.004509646983465;2.6003520249579072e-14;200.00019741067183;10.000067913844815;0.9556311085095526;0.30633444079749084;0.4622856323664123
2056.0;3.9191958915353824e-5;304.3767615616465;1.292568331793191e-12;9.291537869431744e-8;50.004710521734985;2.6521671456900615e-14;200.00015334775463;10.000076992012485;0.90653309379138;0.35541156354780035;0.4740225401244624
2057.0;4.0143537476372055e-5;281.0230411587605;1.3222020710826085e-12;9.319435140679362e-8;50.005045112645995;2.6894575006050373e-14;200.00024137669595;10.00008513025805;0.8609526514609188;0.3919608956120048;1.0259502851669673
2058.0;4.0599320933280265e-5;273.07612515976285;1.3363139328815502e-12;9.397879080650612e-8;50.00461462031114;2.7899656833632682e-14;200.0002695980851;10.000116426149349;0.8305397649661773;0.42715279198018186;1.6806794698050138
2059.0;4.0857849760498734e-5;326.1533614641489;1.3442656190844802e-12;9.411474235790634e-8;50.00506072626529;2.7625672840266942e-14;200.0000412893881;10.000110650486684;0.6758137770323012;0.48909024517633237;0.42471273889242606
2060.0;4.084680544879782e-5;276.77687438534076;1.3439374679195401e-12;0.0;50.00321987473152;0.0;200.00010990421774;10.000159308275752;1.148717674021002;0.5707745591390414;2.4871267170020173
