period,time_step,Other,Load,WindOnshore,Solar
292,1,68004.0,281812.0,1603.0,91.0
292,2,67364.0,274690.0,1639.0,87.0
292,3,68110.0,272030.0,1968.0,88.0
292,4,70063.0,272366.0,2048.0,82.0
292,5,73247.0,286007.0,2127.0,82.0
292,6,77172.0,321033.0,2223.0,91.0
292,7,85739.0,360376.0,2726.0,569.0
292,8,90279.0,381429.0,2903.0,2892.0
292,9,90069.0,387483.0,3146.0,10501.0
292,10,86296.0,388328.0,3690.0,20422.0
292,11,85105.0,387182.0,3599.0,27826.0
292,12,82121.0,383201.0,3922.0,32503.0
292,13,80187.0,379734.0,3738.0,33742.0
292,14,79613.0,376132.0,3581.0,32728.0
292,15,79577.0,373363.0,3781.0,27528.0
292,16,82972.0,367859.0,4618.0,18619.0
292,17,85437.0,372928.0,5709.0,8435.0
292,18,92100.0,387432.0,6807.0,1786.0
292,19,98908.0,402281.0,7822.0,334.0
292,20,89889.0,388504.0,8018.0,118.0
292,21,80931.0,363552.0,8140.0,98.0
292,22,74294.0,341514.0,8192.0,93.0
292,23,69379.0,320235.0,8588.0,91.0
292,24,65483.0,299450.0,8336.0,92.0
