periods,January,February,March,April,May,June,July,August,September,October,November,December
14.0,8.649961442379256,5.7079473081792775,0.24884462276325275,0.013094896071432232,0.2699085389814942,0.0,0.025942000158129575,0.0,0.0,0.06296299996395029,2.723212317241134,4.4297352907264225
22.0,3.9732688231630204,0.23042440208231435,3.1438880303104026,1.139321477681614,0.8480178587139914,0.0,0.12221531661382298,0.4334020481099442,0.04817408589859236,0.9575396571817528,1.9484457608001864,3.6848572428461774
29.0,6.27810634096172,11.914080681046741,1.7397415305227875,0.9375172577835902,1.349272596866811,0.3354668789473622,0.3006642866254131,0.0,0.0,0.0,0.7343204590206045,3.4317110765832988
68.0,4.962558553183966,2.6400969247858104,9.189622730506846,2.9742871200346297,1.6396227995938315,2.2030977164831094,1.9980250804935498,1.240860528033711,2.1302308457909933,1.2556434432628563,4.17964712276244,3.1480485297272334
89.0,0.0,0.21076302870050684,2.419463925805389,3.1921283773656968,1.4583172710931909,0.12751591944828777,1.254529759068272,0.6694108783606428,1.197375817397779,0.9489845657167346,0.10705241918018506,0.0
135.0,1.4785030616620836,1.5934567306383387,0.3811236657140429,1.2617554401166726,10.687052333830787,2.731391513247886,2.0892501366488627,1.0944175031771184,0.0,0.0,0.0,0.11439947231736665
155.0,0.019850765251945766,0.565418649128289,0.5376906696021061,3.278028151617015,6.1635295231900304,10.931070763860887,1.961720067493798,2.9208791064703528,0.0,0.0,0.0,0.2093009350839838
181.0,0.0,0.0,0.14330704013614914,0.6992586651199086,0.10349129506865512,4.992259797436843,6.601821326616679,1.5609721753443073,0.4875884864211683,0.0,0.0,0.0
221.0,0.0050495155151661225,0.9995911952478675,2.6754802160509676,2.6339776309668137,4.533703943057583,3.619415683179765,4.452788284240548,8.153511061055164,1.2524430754503029,0.4620758777517521,0.11093873521249718,0.01313400665276126
233.0,0.7207742065235935,0.0,1.5197467162459817,3.295403258119554,1.413620564788256,3.8487259554160036,8.11614351216152,6.946411086066325,9.361475052705234,0.6803812545850647,0.37004198332708393,0.2810622875245759
264.0,0.0,0.0,0.2449139614783912,1.2943777358824882,0.12988034445802626,0.06000409746115064,0.667656589347295,0.2116652072054031,4.206708512785068,0.6763366792936104,0.8103903391753492,0.08797902611816726
267.0,0.0,0.0,1.9530749606091302,2.9707145221471647,0.8795273417351751,0.37002533039887375,0.8104178986306588,3.7527424762808077,4.803202138410941,9.328807854093325,1.4201495305366034,0.5375313575088091
282.0,0.0,0.49689376152902914,0.23961983908237397,1.9463705828859241,0.30716334178009513,0.1109484436981456,0.659402295003091,1.3933754542690922,4.0301700415380255,5.705807169375946,1.8934389630599389,0.5649949968865655
292.0,0.5393060250227968,1.4252622043010181,4.29777933104099,2.3857610711167676,0.9622139186504427,0.6560656618108501,1.6256583512716565,2.3122673825946087,1.7521343544283516,9.032339244024362,8.23923123192916,3.4725289920778137
338.0,2.7824740447827083,1.2714166888140548,1.7368349802882117,1.0849392724633076,0.13513058537430064,0.0,0.2302111793131078,0.02195033349863111,0.15747417890779186,0.2791582779534673,4.3844588455494495,7.93355801884543
346.0,1.5901472215534767,0.9446484255467522,0.5288677798429761,0.8930645406274197,0.11954774281733142,0.014012238610837988,0.08355391631359725,0.2881347595338931,0.5730234102657542,1.6099629767971766,3.0786722922053684,3.0911587671013936
