period,time_step,WindOffshore,Other,Load,WindOnshore,Solar
14,1,0.507811614,76738.0,350691.0,0.33497589,0.000482321
14,2,0.481805949,74372.0,342128.0,0.334839414,0.000482321
14,3,0.430368272,75815.0,338723.0,0.324401783,0.000446594
14,4,0.486331445,78514.0,338553.0,0.30977709,0.000348343
14,5,0.431451842,80224.0,340095.0,0.301015376,0.000339412
14,6,0.425715297,81566.0,348371.0,0.296391593,0.000339412
14,7,0.487924929,85612.0,367913.0,0.288017469,0.000348343
14,8,0.434575071,91703.0,393769.0,0.277399691,0.00409973
14,9,0.341324363,99614.0,409301.0,0.25745792,0.027224353
14,10,0.358788952,102867.0,416239.0,0.241179147,0.077716238
14,11,0.364971671,102174.0,420606.0,0.226194159,0.142516985
14,12,0.355793201,101951.0,421720.0,0.213310891,0.181075884
14,13,0.320609066,100779.0,419736.0,0.209402239,0.194089626
14,14,0.297726629,97310.0,415556.0,0.211520335,0.182326347
14,15,0.317103399,94168.0,410365.0,0.215106906,0.152904754
14,16,0.264327196,96128.0,409257.0,0.225500864,0.102734417
14,17,0.238066573,100982.0,409999.0,0.230708762,0.054511228
14,18,0.283066573,108146.0,418280.0,0.234546447,0.02173125
14,19,0.295495751,111772.0,421922.0,0.236451642,0.003411976
14,20,0.289376771,109175.0,417666.0,0.231991629,0.000696686
14,21,0.245779037,101673.0,404965.0,0.231036303,0.000357275
14,22,0.241189802,93233.0,387291.0,0.230594123,0.000357275
14,23,0.197719547,88042.0,372158.0,0.226947503,0.000357275
14,24,0.17286119,84374.0,361097.0,0.222667637,0.000357275
22,1,0.521706799,61156.0,335446.0,0.499696115,0.000169706
22,2,0.611069405,61904.0,335180.0,0.494815758,0.000169706
22,3,0.619546742,62793.0,334680.0,0.500307524,0.000169706
22,4,0.638031162,63063.0,332923.0,0.496011282,0.000169706
22,5,0.705594901,64038.0,333590.0,0.489078337,0.000169706
22,6,0.6975,66481.0,341371.0,0.481615868,0.000169706
22,7,0.541593484,69481.0,352862.0,0.477477937,0.000196502
22,8,0.482953258,83163.0,380212.0,0.462290965,0.003010042
22,9,0.494872521,95361.0,396780.0,0.440580475,0.016818719
22,10,0.515396601,95308.0,401445.0,0.418744427,0.064398813
22,11,0.527953258,93026.0,403664.0,0.402088982,0.124992647
22,12,0.506728045,87522.0,402245.0,0.39480666,0.161470421
22,13,0.496848442,85166.0,399995.0,0.381366572,0.177020814
22,14,0.521196884,81443.0,395481.0,0.379603312,0.170125408
22,15,0.508958924,79100.0,391060.0,0.380050951,0.142427666
22,16,0.512592068,80131.0,388366.0,0.372370121,0.094383114
22,17,0.512145893,83754.0,388525.0,0.373729415,0.043775115
22,18,0.519858357,89757.0,393874.0,0.3782331,0.011620369
22,19,0.528399434,92728.0,396342.0,0.382725867,0.000768141
22,20,0.550963173,88216.0,390208.0,0.384123374,0.000223296
22,21,0.539426345,81258.0,377638.0,0.385444454,0.000223296
22,22,0.549688386,74139.0,360990.0,0.382835047,0.000223296
22,23,0.536749292,67380.0,346095.0,0.375088709,0.000205433
22,24,0.522089235,63234.0,334476.0,0.370503139,0.000223296
29,1,0.488243626,78293.0,324865.0,0.263359112,0.000151843
29,2,0.581494334,78082.0,320822.0,0.270117369,0.000151843
29,3,0.642429178,82016.0,324655.0,0.279747066,0.000160774
29,4,0.684114731,84269.0,327691.0,0.289169321,0.000151843
29,5,0.720509915,85835.0,331381.0,0.294022382,0.00014291
29,6,0.742691219,84121.0,336693.0,0.3071786,0.00014291
29,7,0.744220963,88619.0,355952.0,0.324205259,0.000214365
